,name,host_name,host_location,host_response_time,host_is_superhost,host_listings_count,host_identity_verified,latitude,property_type,accommodates,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,maximum_nights_avg_ntm,availability_60,availability_365,number_of_reviews_ltm,last_review,review_scores_cleanliness,review_scores_location,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
2729,Lyon : appartement calme avec balcon,Damien,"Lyon, France",,f,1.0,t,45.738,Entire condo,2,1.0,,1125,365,1125,1125.0,0,0,0,2019-08-06,5.0,5.0,f,1,0
2730,Chambre zen au coeur de Monplaisir,Alice,"Lyon, France",,f,1.0,t,45.7458,Private room in rental unit,2,,,7,1,7,7.0,0,0,0,2017-12-09,5.0,5.0,t,0,0
2731,T2 calme logement entier 45 m² sur Debourg/Gerland,Jacques,"Piégros-la-Clastre, France",,f,1.0,f,45.732,Entire rental unit,2,1.0,90.0,7,2,7,7.0,35,340,1,2024-03-17,4.33,4.3,f,1,0
2732,Appartement chaleureux de style industriel,Jade,"Paris, France",,f,1.0,t,45.77536,Entire loft,4,1.0,,1125,365,1125,1125.0,0,0,0,2018-12-09,4.0,5.0,f,1,0
2733,90m2 au ❤️ de la ville - 90m2 in the ❤️ of the city,Fiona,"Lyon, France",,f,1.0,t,45.76425,Entire rental unit,6,2.0,,1125,365,1125,1125.0,0,0,0,2018-04-02,5.0,5.0,f,1,0
2734,"Appart quai du rhône, vue imprenable, central",Pierre Marie,"Lyon, France",,f,1.0,t,45.75902,Entire rental unit,4,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2735,T2 Spacieux,Brenda,"Lyon, France",,f,1.0,t,45.74155,Entire condo,2,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2736,Two-room flat in the old town by the city center,Charles-Arthur,"Lyon, France",,f,1.0,t,45.76639,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2020-02-03,4.15,5.0,f,1,0
2737,un temps calme .,Sandysoleil,"Lyon, France",,f,1.0,f,45.73199,Private room,2,,,3,1,3,3.0,0,0,0,,,,f,0,0
2738,Duplex Lumière - Proche Opéra / Hôtel de Ville,Jerome,"Lyon, France",within an hour,,12.0,t,45.77085,Entire rental unit,4,1.0,97.0,1125,2,1125,1125.0,23,237,3,2024-08-20,4.53,4.83,f,8,0
2739,"Nice and cosy flat Center of Lyon, Jean Macè",Cynthia & Hugues,"Lyon, France",,f,1.0,t,45.74389,Entire condo,6,2.0,,1125,365,1125,1125.0,0,0,0,2018-12-09,5.0,5.0,f,1,0
2740,"Chambre privée au calme, à Bellecour, plein centre",Mélissa,"Beaufort, France",,f,1.0,t,45.75598,Private room in rental unit,2,,,2,1,2,2.0,0,0,0,2018-01-21,4.33,5.0,f,0,0
2741,Fête des lumières lyon presqu'île,Morgan,"Lyon, France",,f,1.0,t,45.76754,Shared room in rental unit,4,,,4,2,4,4.0,0,0,0,,,,f,0,1
2742,La fête de la lumière à deux,Farida,,,f,1.0,f,45.74468,Private room in rental unit,1,,,5,1,5,5.0,0,0,0,2018-12-09,5.0,5.0,f,0,0
2743,Appartement à 3 secondes de la place des terreaux.,Alex,"Lyon, France",,f,1.0,t,45.76875,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,f,1,0
2744,Duplex calme et lumineux avec balcon 🌟,Christelle,"Canet-en-Roussillon, France",within an hour,t,3.0,t,45.76873,Entire rental unit,2,1.0,90.0,1125,3,1125,1125.0,6,6,4,2024-11-04,4.84,4.92,f,1,0
2745,Appartement lumineux pentes de la Croix Rousse,Julien,"Lyon, France",,f,1.0,f,45.7706,Entire rental unit,3,,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2746,T2 à 3 minutes de la Gare Part-dieu,Dani,"Lyon, France",,f,1.0,t,45.76252,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,,,,t,1,0
2747,Room  in full city center.,Francine,"Lyon, France",a few days or more,f,1.0,t,45.74813,Private room in rental unit,1,1.0,42.0,168,28,168,168.0,58,106,0,2020-02-23,4.62,4.95,f,0,0
2748,"Appartement convivial, capacité max. 10 personnes!",Tiéphaine,"Lyon, France",,f,1.0,t,45.74797,Entire rental unit,10,3.0,,1125,2,1125,1125.0,0,0,0,2021-12-12,5.0,4.5,t,1,0
2749,Appartement au cœur de Lyon pour fête des lumières,Laurine,"Saint Pierre, Réunion",,f,1.0,t,45.7507,Entire rental unit,8,3.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,4.0,5.0,f,1,0
2750,Cosy and neat apartment in Lyon :),Maude,"Lyon, France",,f,1.0,t,45.75117,Entire rental unit,4,1.0,,1125,365,1125,1125.0,59,89,0,2020-10-04,4.8,5.0,f,1,0
2751,COZY APARTMENT  VIEUX LYON,Cynthia,"Lyon, France",,f,1.0,f,45.76142,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2019-07-08,4.77,4.92,f,1,0
2752,Appartement de charme à côté de Bellecour.,Selma,"Saint-Étienne, France",,f,1.0,f,45.75852,Entire rental unit,3,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2753,Charmant 50m² cosy et lumineux au coeur de Lyon,Léa,"Lyon, France",,f,1.0,f,45.75512,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,f,1,0
2754,Appartement Saxe gambetta 36m²,Robin,"Canton of Ferney-Voltaire, France",,f,1.0,f,45.75293,Entire rental unit,4,,,1125,365,1125,1125.0,0,0,0,2019-11-03,3.5,4.33,t,1,0
2755,"Great apartment ideally located, Lyon 6eme",Damien,"Lyon, France",,f,177.0,t,45.76938,Entire rental unit,3,1.0,99.0,365,2,999,999.0,44,161,28,2024-12-06,4.61,4.8,t,107,0
2756,"Apartment in Place des terreaux,Fête des lumières",Faraz,"Lyon, France",,f,1.0,t,45.76823,Entire rental unit,3,1.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2757,Beau 50m2 à Saxe Gambetta - parking,Christophe,"Lyon, France",,f,2.0,t,45.75174,Entire rental unit,3,1.0,,1125,365,1125,1125.0,60,90,0,2019-07-09,4.33,4.33,t,2,0
2758,Logement chaleureux -6eme arrondissement lyon,Aurelien,"Lyon, France",,f,1.0,t,45.77091,Entire rental unit,4,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2759,Appartement chaleureux au cœur de la presqu'île,Camille,"Lyon, France",,f,1.0,t,45.76761,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2020-01-01,4.75,4.75,f,1,0
2760,2 chambres dans auberge de jeunesse éphémère,Bertille Et Zoé,"Lyon, France",,f,1.0,f,45.76973,Entire rental unit,6,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
2761,Chambre et salle d’eau privatives au cœur du 8e,Marianne,"Montreal, Canada",,f,1.0,t,45.74124,Private room in rental unit,2,,,1125,1,1125,1125.0,0,0,0,,,,t,0,0
2762,Chambre spacieuse proche Fourvière,Al,"Compiègne, France",,f,2.0,t,45.76661,Private room in rental unit,2,,,7,1,7,7.0,0,0,0,2017-12-10,5.0,4.0,t,0,0
2763,Part-dieu T2 spacieux et lumineux avec parking,Celia,"Saint-Julien-lès-Metz, France",,f,1.0,t,45.75916,Entire rental unit,3,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-10,5.0,5.0,f,1,0
2764,Appartement Lyon 1 (centre ville) - idéal couple,Lucile,"Lyon, France",,f,2.0,f,45.7675,Entire rental unit,2,1.0,,1125,365,1125,1125.0,0,0,0,2018-12-09,5.0,5.0,f,2,0
2765,"T1bis de 32m² tout équipé, Lyon 8",Isabelle,"L'Isle-d'Abeau, France",,f,1.0,t,45.73134,Entire rental unit,2,1.0,45.0,150,15,150,150.0,0,74,0,2023-10-16,4.54,4.38,f,1,0
2766,"Charmant T2, 45m², proche Guillotière",Marie,"Lyon, France",,f,1.0,f,45.76027,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2018-02-25,5.0,5.0,f,1,0
2767,"Spacieux t2, Hôtel de Ville,",Ilan,,,f,1.0,f,45.76964,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2017-12-11,4.0,5.0,f,1,0
2768,Logement entier fête des Lumières,Myriam,"Lyon, France",,f,1.0,t,45.74652,Entire rental unit,4,1.0,,1125,365,1125,1125.0,0,0,0,2018-01-31,4.0,5.0,f,1,0
2769,Chambre privée ideale pour la Fete des Lumieres,Romain,"Lyon, France",,f,1.0,t,45.76867,Private room in rental unit,2,2.0,,5,2,5,5.0,0,0,0,2017-12-10,4.0,3.0,t,0,0
2770,Appartement Lyon CENTRE Cordeliers - Fête Lumières,Clémentine,"Lyon, France",,f,1.0,t,45.76138,Entire rental unit,2,1.0,195.0,1125,365,1125,1125.0,60,365,0,2021-09-26,5.0,5.0,f,1,0
2771,Chaleureux appartement au cœur du 1er arrondissemt,Julie,"Lyon, France",,f,1.0,f,45.76884,Entire rental unit,6,2.0,,1125,365,1125,1125.0,0,0,0,,,,f,1,0
